,visit_num,tract_id,filter,field_name,image_mjd,field,ra,dec
59,410873,22,r,Blind15A_34,57070.0838544,34,10:12:28.800,+00:00:00.00
60,410874,21,r,Blind15A_35,57070.0851902,35,10:09:32.887,+02:05:44.81
61,410875,24,r,Blind15A_36,57070.0866266,36,10:18:47.287,+02:05:44.81
62,410876,23,r,Blind15A_37,57070.0879649,37,10:21:33.607,+00:05:42.94
63,410877,20,r,Blind15A_38,57070.0893006,38,10:17:17.839,-02:05:44.81
64,410878,19,r,Blind15A_39,57070.0906303,39,10:12:22.570,-04:11:29.62
65,410879,50,r,Blind15A_40,57070.0919834,40,10:20:28.800,-06:31:12.00
66,410880,51,r,Blind15A_41,57070.0933289,41,10:28:47.760,-06:31:12.00
67,410881,52,r,Blind15A_42,57070.0946356,42,10:21:52.800,-04:57:00.00
68,410882,53,r,Blind15A_43,57070.095981,43,10:27:25.440,-02:08:27.52
69,410883,46,r,Blind15A_44,57070.0973102,44,10:32:02.640,-00:08:25.66
70,410884,47,r,Blind15A_45,57070.0986314,45,10:27:25.440,+01:51:36.22
71,410885,49,r,Blind15A_46,57070.1000406,46,10:36:39.840,+01:51:36.22
72,410886,49,r,Blind15A_47,57070.1013717,47,10:41:31.200,+00:00:00.00
73,410887,54,r,Blind15A_48,57070.10271,48,10:36:40.217,-02:05:44.81
74,410888,55,r,Blind15A_49,57070.1040433,49,10:31:47.285,-04:11:29.62
75,410889,45,r,Blind15A_50,57070.105381,50,10:36:35.527,-06:17:14.42
76,410890,12,g,Blind15A_01,57070.1072727,1,09:13:31.152,-06:18:04.68
77,410891,13,g,Blind15A_02,57070.1085858,2,09:08:53.952,-04:18:02.81
78,410892,14,g,Blind15A_03,57070.1099053,3,09:13:30.840,-02:17:49.30
79,410893,15,g,Blind15A_04,57070.1112247,4,09:08:53.952,-00:17:59.06
80,410894,16,g,Blind15A_05,57070.112565,5,09:13:31.152,+01:42:02.81
81,410895,17,g,Blind15A_06,57070.1139276,6,09:22:45.552,+01:42:02.81
82,410896,18,g,Blind15A_07,57070.1152628,7,09:18:08.352,-00:17:59.06
83,410897,10,g,Blind15A_08,57070.1166003,8,09:22:45.552,-02:18:00.94
84,410898,11,g,Blind15A_09,57070.117928,9,09:18:08.352,-04:18:02.81
85,410899,5,g,Blind15A_10,57070.1192584,10,09:22:45.552,-06:18:04.68
86,410900,4,g,Blind15A_11,57070.1206105,11,09:31:59.952,-06:18:04.68
87,410901,3,g,Blind15A_12,57070.121937,12,09:27:22.752,-04:18:02.81
88,410902,2,g,Blind15A_13,57070.1232814,13,09:31:59.952,-02:18:00.94
89,410903,9,g,Blind15A_14,57070.1246159,14,09:27:22.752,-00:17:59.06
90,410904,8,g,Blind15A_15,57070.1259416,15,09:31:59.952,+01:42:02.81
91,410905,7,g,Blind15A_16,57070.1273042,16,09:41:14.352,+01:42:02.81
92,410906,6,g,Blind15A_17,57070.128634,17,09:36:37.152,-00:17:59.06
