# t0_x t0_y theta_par theta_perp v_x v_y likelihood est_flux
1451 1271 0.0 0.0 -254.270 282.395 27.390 0.0
1181 2868 0.0 0.0 -270.000 0.000 27.387 0.0
159 388 0.0 0.0 -327.874 364.141 27.385 0.0
142 305 0.0 0.0 190.000 329.090 27.382 0.0
1874 2057 0.0 0.0 387.343 -172.456 27.382 0.0
1463 2671 0.0 0.0 32.822 -312.280 27.379 0.0
1218 2859 0.0 0.0 -210.107 233.348 27.377 0.0
139 302 0.0 0.0 195.386 216.998 27.361 0.0
972 729 0.0 0.0 -146.000 252.879 27.358 0.0
1213 1178 0.0 0.0 -210.107 -233.347 27.338 0.0
137 303 0.0 0.0 195.386 216.998 27.335 0.0
187 1869 0.0 0.0 -254.031 -184.565 27.334 0.0
963 744 0.0 0.0 -210.107 233.348 27.333 0.0
158 385 0.0 0.0 -278.000 481.510 27.323 0.0
1869 2093 0.0 0.0 137.821 -424.171 27.319 0.0
135 300 0.0 0.0 283.711 315.093 27.312 0.0
1181 2869 0.0 0.0 -270.000 0.000 27.311 0.0
1867 2108 0.0 0.0 39.721 -377.918 27.295 0.0
135 292 0.0 0.0 267.000 462.458 27.294 0.0
1211 1175 0.0 0.0 -180.665 -200.649 27.290 0.0
322 2916 0.0 0.0 37.421 -356.039 27.281 0.0
1429 1169 0.0 0.0 224.828 249.697 27.281 0.0
1438 1176 0.0 0.0 180.665 200.649 27.274 0.0
1398 1342 0.0 0.0 -28.223 268.521 27.274 0.0
136 302 0.0 0.0 210.107 233.347 27.268 0.0
1882 2072 0.0 0.0 157.000 -271.932 27.267 0.0
1429 1168 0.0 0.0 239.549 266.046 27.264 0.0
1402 2688 0.0 0.0 -246.657 -109.819 27.255 0.0
158 390 0.0 0.0 -313.153 347.792 27.249 0.0
152 396 0.0 0.0 -190.000 329.090 27.245 0.0
1461 1260 0.0 0.0 -342.595 380.490 27.245 0.0
1873 2081 0.0 0.0 97.031 -298.632 27.237 0.0
158 384 0.0 0.0 -278.000 481.510 27.235 0.0
164 387 0.0 0.0 -357.316 396.839 27.234 0.0
1184 2869 0.0 0.0 -270.000 0.000 27.233 0.0
1391 2679 0.0 0.0 -254.031 -184.565 27.226 0.0
1212 1178 0.0 0.0 -210.107 -233.347 27.219 0.0
153 395 0.0 0.0 -190.000 329.090 27.217 0.0
163 388 0.0 0.0 -342.595 380.490 27.214 0.0
1875 2131 0.0 0.0 -124.225 -382.325 27.201 0.0
329 2926 0.0 0.0 135.000 233.827 27.199 0.0
486 2398 0.0 0.0 -268.991 -298.744 27.198 0.0
142 302 0.0 0.0 146.000 252.879 27.191 0.0
1869 2091 0.0 0.0 131.023 -403.248 27.180 0.0
136 292 0.0 0.0 267.000 462.458 27.174 0.0
1875 2073 0.0 0.0 -135.000 233.827 27.172 0.0
153 400 0.0 0.0 -239.549 266.046 27.172 0.0
1868 2114 0.0 0.0 -30.522 -290.400 27.170 0.0
1870 2093 0.0 0.0 151.418 -466.018 27.167 0.0
1879 2062 0.0 0.0 307.426 -223.358 27.166 0.0
1874 2056 0.0 0.0 387.343 -172.456 27.164 0.0
146 396 0.0 0.0 -201.000 348.142 27.157 0.0
171 361 0.0 0.0 -103.830 -319.555 27.149 0.0
165 386 0.0 0.0 -357.316 396.839 27.139 0.0
1321 1218 0.0 0.0 -35.122 334.159 27.138 0.0
1403 2687 0.0 0.0 -266.755 -118.767 27.138 0.0
281 618 0.0 0.0 -246.657 -109.819 27.137 0.0
136 300 0.0 0.0 268.991 298.744 27.136 0.0
1872 2090 0.0 0.0 137.821 -424.171 27.136 0.0
157 386 0.0 0.0 -267.000 462.458 27.136 0.0
970 731 0.0 0.0 -135.000 233.827 27.134 0.0
858 1245 0.0 0.0 -28.223 268.521 27.130 0.0
143 302 0.0 0.0 135.000 233.827 27.127 0.0
130 281 0.0 0.0 256.000 443.405 27.126 0.0
322 2915 0.0 0.0 37.421 -356.039 27.123 0.0
137 293 0.0 0.0 256.000 443.405 27.119 0.0
1231 1184 0.0 0.0 -285.619 -60.710 27.116 0.0
1431 1169 0.0 0.0 224.828 249.697 27.112 0.0
163 384 0.0 0.0 -386.757 429.538 27.111 0.0
1191 2880 0.0 0.0 264.100 -56.136 27.109 0.0
1872 2086 0.0 0.0 117.426 -361.402 27.104 0.0
1873 2120 0.0 0.0 -97.031 -298.632 27.088 0.0
1875 2055 0.0 0.0 306.951 -136.664 27.085 0.0
1872 2080 0.0 0.0 83.435 -256.785 27.080 0.0
948 3664 0.0 0.0 266.755 118.767 27.072 0.0
1881 2060 0.0 0.0 289.628 -210.427 27.066 0.0
186 1869 0.0 0.0 -254.031 -184.565 27.065 0.0
1872 2081 0.0 0.0 83.435 -256.785 27.057 0.0
1237 1188 0.0 0.0 -264.100 -56.136 27.057 0.0
184 1867 0.0 0.0 -236.233 -171.633 27.052 0.0
1877 2072 0.0 0.0 90.233 -277.709 27.048 0.0
1870 2092 0.0 0.0 144.620 -445.094 27.046 0.0
1870 2083 0.0 0.0 90.233 -277.709 27.043 0.0
281 617 0.0 0.0 -246.657 -109.819 27.036 0.0
1405 2690 0.0 0.0 -306.951 -136.663 27.034 0.0
1437 1175 0.0 0.0 180.665 200.649 27.033 0.0
1877 2071 0.0 0.0 90.233 -277.709 27.033 0.0
154 395 0.0 0.0 -190.000 329.090 27.030 0.0
134 290 0.0 0.0 245.000 424.352 27.028 0.0
1430 1168 0.0 0.0 224.828 249.697 27.023 0.0
