# t0_x t0_y theta_par theta_perp v_x v_y likelihood est_flux
127 309 0.0 0.0 177.650 289.898 144.961 0.0
117 310 0.0 0.0 240.296 281.350 144.961 0.0
123 311 0.0 0.0 202.786 279.111 144.961 0.0
112 312 0.0 0.0 268.701 268.701 144.961 0.0
118 312 0.0 0.0 233.801 273.746 144.961 0.0
124 312 0.0 0.0 196.908 271.021 144.961 0.0
113 313 0.0 0.0 265.165 265.165 144.961 0.0
119 313 0.0 0.0 227.307 266.142 144.961 0.0
125 313 0.0 0.0 191.030 262.931 144.961 0.0
114 314 0.0 0.0 258.094 258.094 144.961 0.0
120 314 0.0 0.0 220.812 258.538 144.961 0.0
115 315 0.0 0.0 251.023 251.023 144.961 0.0
121 315 0.0 0.0 214.318 250.934 144.961 0.0
126 315 0.0 0.0 185.152 254.840 144.961 0.0
116 316 0.0 0.0 247.487 247.487 144.961 0.0
122 316 0.0 0.0 211.071 247.132 144.961 0.0
117 317 0.0 0.0 240.416 240.416 144.961 0.0
122 317 0.0 0.0 207.823 243.330 144.961 0.0
118 318 0.0 0.0 233.345 233.345 144.961 0.0
123 318 0.0 0.0 201.329 235.726 144.961 0.0
112 319 0.0 0.0 269.944 230.554 144.961 0.0
119 319 0.0 0.0 226.274 226.274 144.961 0.0
113 320 0.0 0.0 262.340 224.060 144.961 0.0
120 320 0.0 0.0 222.739 222.739 144.961 0.0
125 320 0.0 0.0 191.587 224.320 144.961 0.0
115 321 0.0 0.0 250.934 214.318 144.961 0.0
121 321 0.0 0.0 215.668 215.668 144.961 0.0
126 321 0.0 0.0 185.093 216.716 144.961 0.0
130 321 0.0 0.0 158.702 218.435 144.961 0.0
116 322 0.0 0.0 247.132 211.071 144.961 0.0
122 322 0.0 0.0 208.597 208.596 144.961 0.0
127 322 0.0 0.0 178.598 209.112 144.961 0.0
131 322 0.0 0.0 152.824 210.344 144.961 0.0
117 323 0.0 0.0 239.528 204.576 144.961 0.0
123 323 0.0 0.0 201.525 201.525 144.961 0.0
128 323 0.0 0.0 172.104 201.508 144.961 0.0
118 324 0.0 0.0 231.924 198.082 144.961 0.0
124 324 0.0 0.0 197.990 197.990 144.961 0.0
113 325 0.0 0.0 262.931 191.030 144.961 0.0
119 325 0.0 0.0 228.122 194.834 144.961 0.0
125 325 0.0 0.0 190.919 190.919 144.961 0.0
129 325 0.0 0.0 165.609 193.904 144.961 0.0
114 326 0.0 0.0 258.885 188.091 144.961 0.0
120 326 0.0 0.0 220.518 188.340 144.961 0.0
126 326 0.0 0.0 183.848 183.848 144.961 0.0
115 327 0.0 0.0 250.795 182.213 144.961 0.0
