# x y xv yv likelihood flux
38 31 20.2045 20.8033 31.9898 29.2025
5 3 12.4322 15.6665 31.9868 22.6181
46 18 16.5067 11.2928 31.9622 41.263
43 31 18.4212 7.78837 31.9538 35.7254
38 29 16.1619 20.3665 31.9437 25.2537
32 5 23 0 31.9395 25.2504
43 39 20 0 31.927 35.6955
41 36 18.9827 12.9868 31.921 31.921
38 29 14.297 18.0165 31.9124 23.7861
41 36 21.4587 14.6807 31.8939 35.6585
29 5 20 0 31.8877 22.548
38 30 22.8851 2.29617 31.8858 29.1076
5 1 14.297 18.0165 31.8857 22.5466
39 29 24.8387 7.68353 31.864 31.864
41 31 22.8851 2.29617 31.8438 35.6024
32 7 21.4587 14.6807 31.8367 23.7297
43 37 22.1804 18.6823 31.8359 41.1
42 31 19.9001 1.99667 31.8312 35.5884
19 6 14.297 18.0165 31.8257 22.5042
43 32 20 0 31.8202 35.5761
42 39 25.8701 2.59567 31.77 41.0149
46 39 13.9341 14.3471 31.7596 41.0015
25 2 16.5067 11.2928 31.7548 22.4541
25 0 13.9341 14.3471 31.7411 22.4443
43 36 17.5517 9.58851 31.7392 35.4855
27 6 18.4212 7.78837 31.7312 22.4374
14 15 43.7802 4.39267 31.7265 23.6476
31 5 14.297 18.0165 31.7152 22.426
41 34 19.8859 16.7497 31.715 31.715
6 3 16.0243 16.4992 31.7141 22.4253
29 2 12.4322 15.6665 31.7108 22.4229
42 36 26.4749 27.2595 31.7102 40.9377
43 38 26.7108 11.2931 31.7035 40.9291
38 30 18.0267 22.7165 31.701 26.7922
25 3 17.5517 9.58851 31.6961 22.4125
45 38 17.5914 14.817 31.6938 40.9165
43 37 19.8859 16.7497 31.6914 35.432
31 5 19.8859 16.7497 31.69 22.4082
25 2 15.2968 12.8844 31.6879 22.4067
25 46 17.5517 9.58851 31.6875 35.4277
37 27 12.4322 15.6665 31.6734 22.3965
6 3 12.4322 15.6665 31.67 22.3941
42 37 18.4212 7.78837 31.6601 31.6601
41 32 23.6212 29.7664 31.658 35.3947
38 30 28.4219 5.76141 31.6476 31.6476
45 36 12.4322 15.6665 31.6347 35.3687
22 0 18.9827 12.9868 31.5913 22.3384
45 40 19.6013 3.97339 31.5864 40.7779
27 46 16.5067 11.2928 31.5757 35.3027
38 31 19.9001 1.99667 31.574 28.823
25 45 28.0826 15.3416 31.5734 40.7611
25 45 30.7154 16.7799 31.5734 40.7611
43 39 25.4817 5.1654 31.5444 40.7237
26 46 25.4499 13.9033 31.5391 40.7169
43 40 20 0 31.5329 35.2548
38 31 22.5415 4.56939 31.5316 28.7842
38 29 13.9341 14.3471 31.5169 23.4913
44 37 17.5914 14.817 31.4989 35.2169
38 31 18.1144 18.6513 31.4961 26.6191
38 32 17.5914 14.817 31.4933 26.6167
33 5 20 0 31.4912 23.4722
38 30 20.2045 20.8033 31.4885 28.7449
41 31 23 0 31.4843 35.2005
47 1 12.4322 15.6665 31.4838 40.6454
41 36 17.5914 14.817 31.4726 31.4726
42 31 20 0 31.4717 35.1865
42 36 16.0243 16.4992 31.4662 31.4662
41 34 24.475 20.615 31.4503 35.1625
44 37 14.297 18.0165 31.4492 35.1612
41 33 24.3847 25.1075 31.444 35.1554
43 35 16.0243 16.4992 31.4402 31.4402
42 33 16.1619 20.3665 31.4392 31.4392
37 30 19.6013 3.97339 31.4346 26.5671
41 32 23 0 31.4139 35.1218
41 30 27.7048 8.57009 31.4085 35.1158
27 46 33.3481 18.2182 31.4058 49.6569
27 46 33.8388 23.1503 31.4058 49.6569
27 46 26.4107 18.0686 31.4058 49.6569
27 46 26.7695 22.5476 31.4058 49.6569
27 46 29.064 24.4803 31.4058 49.6569
30 5 16.5067 11.2928 31.3993 22.2027
31 4 19.8859 16.7497 31.3945 22.1993
39 33 16.5067 11.2928 31.3927 26.5316
25 45 19.8859 16.7497 31.3698 40.4982
39 32 20.2045 20.8033 31.356 28.624
21 8 12.4322 15.6665 31.3484 22.1666
37 28 12.4322 15.6665 31.3479 22.1663
41 30 16.5067 11.2928 31.346 28.6148
28 5 17.5517 9.58851 31.3444 22.1639
23 1 18.9827 12.9868 31.3372 22.1587
6 0 12.4322 15.6665 31.3234 22.149
28 5 22.8171 12.4651 31.3146 22.1428
43 38 20 0 31.2989 34.9932
7 4 16.0243 16.4992 31.2983 22.1313
38 30 22.2946 22.9554 31.295 28.5683
25 43 18.1144 18.6513 31.2924 34.986
42 38 19.6013 3.97339 31.2838 34.9764
42 32 22.8851 2.29617 31.2712 34.9622
39 29 17.5517 9.58851 31.2593 28.5357
24 43 17.5914 14.817 31.2581 31.2581
25 45 22.8171 12.4651 31.2504 34.9391
38 31 17.5914 14.817 31.2483 26.4096
44 31 17.5914 14.817 31.2397 34.927
45 31 13.9341 14.3471 31.2365 34.9235
